country,year,month,month_year,best
Mali,2022,12,202212,289
Mali,2023,1,202301,163
Mali,2023,2,202302,158
Mali,2023,3,202303,125
Mali,2023,4,202304,133
Mali,2023,5,202305,97
Mali,2023,6,202306,92
Mali,2023,7,202307,247
Mali,2023,8,202308,163
Mali,2023,9,202309,354
Mali,2023,10,202310,163
Mali,2023,11,202311,210
Mali,2023,12,202312,213
Mali,2024,1,202401,181
Mali,2024,2,202402,168
Mali,2024,3,202403,143
Mali,2024,4,202404,158
Mali,2024,5,202405,213
Mali,2024,6,202406,100
Mali,2024,7,202407,210
Mali,2024,8,202408,128
Mali,2024,9,202409,164
Mali,2024,10,202410,182
Mali,2024,11,202411,125
Mali,2024,12,202412,129
Myanmar,2018,1,201801,7
Myanmar,2018,2,201802,0
Myanmar,2018,3,201803,0
Myanmar,2018,4,201804,17
Myanmar,2018,5,201805,22
Myanmar,2018,6,201806,12
Myanmar,2018,7,201807,10
Myanmar,2018,8,201808,18
Myanmar,2018,9,201809,7
Myanmar,2018,10,201810,1
Myanmar,2018,11,201811,16
Myanmar,2018,12,201812,12
Myanmar,2019,1,201901,352
Myanmar,2019,2,201902,17
Myanmar,2019,3,201903,22
Myanmar,2019,4,201904,24
Myanmar,2019,5,201905,43
Myanmar,2019,6,201906,16
Myanmar,2019,7,201907,12
Myanmar,2019,8,201908,50
Myanmar,2019,9,201909,11
Myanmar,2019,10,201910,17
Myanmar,2019,11,201911,5
Myanmar,2019,12,201912,18
Myanmar,2020,1,202001,29
Myanmar,2020,2,202002,22
Myanmar,2020,3,202003,53
Myanmar,2020,4,202004,29
Myanmar,2020,5,202005,7
Myanmar,2020,6,202006,21
Myanmar,2020,7,202007,9
Myanmar,2020,8,202008,12
Myanmar,2020,9,202009,9
Myanmar,2020,10,202010,12
Myanmar,2020,11,202011,4
Myanmar,2021,1,202101,1
Myanmar,2021,2,202102,23
Myanmar,2021,3,202103,314
Myanmar,2021,4,202104,141
Myanmar,2021,5,202105,258
Myanmar,2021,6,202106,91
Myanmar,2021,7,202107,252
Myanmar,2021,8,202108,74
Myanmar,2021,9,202109,145
Myanmar,2021,10,202110,81
Myanmar,2021,11,202111,183
Myanmar,2021,12,202112,218
Myanmar,2022,1,202201,249
Myanmar,2022,2,202202,277
Myanmar,2022,3,202203,238
Myanmar,2022,4,202204,182
Myanmar,2022,5,202205,229
Myanmar,2022,6,202206,193
Myanmar,2022,7,202207,196
Myanmar,2022,8,202208,296
Myanmar,2022,9,202209,184
Myanmar,2022,10,202210,316
Myanmar,2022,11,202211,269
Myanmar,2022,12,202212,132
Myanmar,2023,1,202301,175
Myanmar,2023,2,202302,173
Myanmar,2023,3,202303,298
Myanmar,2023,4,202304,364
Myanmar,2023,5,202305,225
Myanmar,2023,6,202306,265
Myanmar,2023,7,202307,206
Myanmar,2023,8,202308,215
Myanmar,2023,9,202309,220
Myanmar,2023,10,202310,217
Myanmar,2023,11,202311,512
Myanmar,2023,12,202312,195
Myanmar,2024,1,202401,408
Myanmar,2024,2,202402,191
Myanmar,2024,3,202403,250
Myanmar,2024,4,202404,145
Myanmar,2024,5,202405,355
Myanmar,2024,6,202406,272
Myanmar,2024,7,202407,230
Myanmar,2024,8,202408,264
Myanmar,2024,9,202409,176
Myanmar,2024,10,202410,281
Myanmar,2024,11,202411,152
